team_id,players,total_score,balance_score,strength_score,complementary_score
0,"['Garrett Temple', 'Kendrick Perkins', 'Luol Deng', 'Jon Brockman', 'Eduardo Najera']",0.20491974793486484,0.46530665289909967,0.2906583333333333,0.13074999999999984
1,"['Manny Harris', 'Chris Wilcox', 'Tim Duncan', 'Jon Brockman', 'James Posey']",0.2711757719062331,0.5040176460415547,0.3417874999999999,0.2061499999999999
2,"['Yao Ming', 'Jon Brockman', 'Terrence Ross', 'Devin Brown', 'CJ McCollum']",0.3828329677903298,0.8421322852688665,0.2935208333333333,0.3035499999999998
3,"['Elton Brand', 'Garrett Temple', 'Luol Deng', 'Devin Brown', 'Christian Eyenga']",0.31826615164185595,0.45777017761237343,0.2955041666666666,0.29324999999999996
4,"['Will Bynum', 'Mike Bibby', 'DeQuan Jones', 'Luol Deng', 'Donte Greene']",0.4991060770906061,0.6067655139373742,0.3025749999999999,0.51815
5,"['Troy Murphy', 'Marcus Camby', 'Jrue Holiday', 'Chris Johnson', 'Terrence Ross']",0.38166118308993036,0.5589328872662025,0.30757500000000004,0.35955000000000004
6,"['Jodie Meeks', 'Chris Wilcox', 'Vladimir Radmanovic', 'CJ McCollum', 'Eduardo Najera']",0.24447080534860727,0.45562203565738235,0.31878333333333336,0.1832999999999999
7,"['Dominic McGuire', 'Jose Calderon', 'Al Harrington', 'Chris Johnson', 'Elton Brand']",0.38380911661803396,0.4638607774535596,0.2928333333333332,0.3861500000000001
8,"['Ryan Anderson', 'Eduardo Najera', 'Carmelo Anthony', 'Christian Eyenga', 'Jose Calderon']",0.520337361680294,0.43216574453529366,0.43671666666666653,0.5571499999999999
9,"['Ryan Anderson', 'James Posey', 'Devin Brown', 'Jeff Foster', 'Andre Miller']",0.44764068203234997,0.5388920468823329,0.4076791666666666,0.43665000000000004
10,"['Kevin Martin', 'Aron Baynes', 'DeQuan Jones', 'Victor Claver', 'Vince Carter']",0.3452797539706584,0.4659441931377224,0.33862083333333337,0.3208500000000001
11,"['Anthony Parker', 'Shannon Brown', 'Chase Budinger', 'Amir Johnson', 'Jeff Foster']",0.2683218529625074,0.4667248530833833,0.3994875,0.19769999999999988
12,"['Stephen Curry', 'Manny Harris', 'Troy Murphy', 'Ish Smith', 'Ronnie Price']",0.5949236595829805,0.6175910638865372,0.28396666666666665,0.6567
13,"['Gary Neal', 'Diante Garrett', 'Yakhouba Diawara', 'Semih Erden', 'Julyan Stone']",0.441000401870993,0.4301151791399531,0.1494875,0.5058
